solver,problem,factor,default,tested,tested_scores,best,best_score,baseline_score
ASTRODF,NETWORK-1,gamma_1,2.5,"[1.25, 2.5, 5.0]","[65.70549710923761, 66.87374170337236, 68.93735046685832]",1.25,65.70549710923761,66.87374170337236
ASTRODF,NETWORK-1,gamma_2,0.5,"[0.25, 0.5, 1.0]","[63.46822794450535, 66.87374170337236, inf]",0.25,63.46822794450535,66.87374170337236
ASTRODF,NETWORK-1,lambda_min,5.0,"[2, 5, 10]","[inf, 66.87374170337236, 91.96728296723037]",5.0,66.87374170337236,66.87374170337236
ASTRODF,NETWORK-1,ps_sufficient_reduction,0.1,"[0.05, 0.1, 0.2]","[66.87374170337236, 66.87374170337236, 66.87374170337236]",0.05,66.87374170337236,66.87374170337236
ASTRODF,ROSENBROCK-1,eta_1,0.1,"[0.05, 0.1, 0.2]","[260.8467578630087, 260.8467578630087, 260.8467578630087]",0.05,260.8467578630087,260.8467578630087
ASTRODF,ROSENBROCK-1,eta_2,0.8,"[0.4, 0.8, 1.6]","[209.49741419788214, 260.8467578630087, 65.11987277005471]",1.6,65.11987277005471,260.8467578630087
ASTRODF,ROSENBROCK-1,gamma_1,2.5,"[1.25, 2.5, 5.0]","[28.61638410050747, 260.8467578630087, 302.1831077864102]",1.25,28.61638410050747,260.8467578630087
ASTRODF,ROSENBROCK-1,gamma_2,0.5,"[0.25, 0.5, 1.0]","[260.8467578630087, 260.8467578630087, inf]",0.25,260.8467578630087,260.8467578630087
ASTRODF,ROSENBROCK-1,lambda_min,5.0,"[2, 5, 10]","[inf, 260.8467578630087, 260.84676152669584]",5.0,260.8467578630087,260.8467578630087
ASTRODF,ROSENBROCK-1,ps_sufficient_reduction,0.1,"[0.05, 0.1, 0.2]","[260.8467578630087, 260.8467578630087, 260.8467578630087]",0.05,260.8467578630087,260.8467578630087
ASTRODF,SSCONT-1,eta_1,0.1,"[0.05, 0.1, 0.2]","[547.4879285053705, 547.4879285053705, 546.715588884688]",0.2,546.715588884688,547.4879285053705
ASTRODF,SSCONT-1,eta_2,0.8,"[0.4, 0.8, 1.6]","[558.5760272430606, 547.4879285053705, 558.2066345919093]",0.8,547.4879285053705,547.4879285053705
ASTRODF,SSCONT-1,gamma_1,2.5,"[1.25, 2.5, 5.0]","[594.9385741700282, 547.4879285053705, 545.3009598053593]",5.0,545.3009598053593,547.4879285053705
ASTRODF,SSCONT-1,gamma_2,0.5,"[0.25, 0.5, 1.0]","[549.3552804372517, 547.4879285053705, inf]",0.5,547.4879285053705,547.4879285053705
ASTRODF,SSCONT-1,lambda_min,5.0,"[2, 5, 10]","[inf, 547.4879285053705, 562.271098333148]",5.0,547.4879285053705,547.4879285053705
ASTRODF,SSCONT-1,ps_sufficient_reduction,0.1,"[0.05, 0.1, 0.2]","[547.4879285053705, 547.4879285053705, 547.4879285053705]",0.05,547.4879285053705,547.4879285053705
ASTRODF,DYNAMNEWS-1,eta_1,0.1,"[0.05, 0.1, 0.2]","[158.7727266376829, 158.7727266376829, 158.7727266376829]",0.05,158.7727266376829,158.7727266376829
ASTRODF,DYNAMNEWS-1,eta_2,0.8,"[0.4, 0.8, 1.6]","[158.7727266376829, 158.7727266376829, 159.52343533643142]",0.4,158.7727266376829,158.7727266376829
ASTRODF,DYNAMNEWS-1,gamma_1,2.5,"[1.25, 2.5, 5.0]","[158.77272592257808, 158.7727266376829, 149.62214231977524]",5.0,149.62214231977524,158.7727266376829
ASTRODF,DYNAMNEWS-1,gamma_2,0.5,"[0.25, 0.5, 1.0]","[157.06073862545333, 158.7727266376829, inf]",0.25,157.06073862545333,158.7727266376829
ASTRODF,DYNAMNEWS-1,lambda_min,5.0,"[2, 5, 10]","[inf, 158.7727266376829, 143.98047096796554]",10.0,143.98047096796554,158.7727266376829
ASTRODF,DYNAMNEWS-1,ps_sufficient_reduction,0.1,"[0.05, 0.1, 0.2]","[158.7727266376829, 158.7727266376829, 158.7727266376829]",0.05,158.7727266376829,158.7727266376829
NELDMD,SAN-1,r,30.0,"[15, 30, 60]","[14.12293549958931, 36.37752191423343, 36.37752191423343]",15.0,14.12293549958931,36.37752191423343
NELDMD,NETWORK-1,r,30.0,"[15, 30, 60]","[64.76516470620848, 68.12042823750598, 91.96728296723037]",15.0,64.76516470620848,68.12042823750598
NELDMD,ROSENBROCK-1,r,30.0,"[15, 30, 60]","[5614.885936595445, 5614.885936595445, 5614.885936595445]",15.0,5614.885936595445,5614.885936595445
NELDMD,SSCONT-1,r,30.0,"[15, 30, 60]","[556.5620198507519, 579.8900895388067, 558.5639718235024]",15.0,556.5620198507519,579.8900895388067
NELDMD,DYNAMNEWS-1,r,30.0,"[15, 30, 60]","[142.48969693410402, 140.3272248575792, 120.0]",60.0,120.0,140.3272248575792
RNDSRCH,SAN-1,sample_size,10.0,"[5, 10, 20]","[19.57407479386943, 19.57407479386943, 19.57407479386943]",5.0,19.57407479386943,19.57407479386943
RNDSRCH,NETWORK-1,sample_size,10.0,"[5, 10, 20]","[73.16041147334508, 73.16041147334508, 76.6477285899228]",5.0,73.16041147334508,73.16041147334508
RNDSRCH,ROSENBROCK-1,sample_size,10.0,"[5, 10, 20]","[745.8376891153948, 745.8376891153948, 745.8376891153948]",5.0,745.8376891153948,745.8376891153948
RNDSRCH,SSCONT-1,sample_size,10.0,"[5, 10, 20]","[558.3478135274617, 593.9061579723914, 593.9061579723914]",5.0,558.3478135274617,593.9061579723914
RNDSRCH,DYNAMNEWS-1,sample_size,10.0,"[5, 10, 20]","[147.16088829316774, 146.88837878936502, 132.9733665842703]",20.0,132.9733665842703,146.88837878936502
STRONG,SAN-1,n0,10.0,"[5, 10, 20]","[36.37752191423343, 28.809718608647835, 28.809718608647835]",10.0,28.809718608647835,28.809718608647835
STRONG,SAN-1,n_r,10.0,"[5, 10, 20]","[34.81062228753804, 28.809718608647835, 34.216950652560854]",10.0,28.809718608647835,28.809718608647835
