solver,problem,dim,factor,default,tested,tested_scores,best,best_score,baseline_score
ADAM,ROSENBROCK-1,100,alpha,0.5,"[0.1, 0.3, 0.7]","[28964.9228138312, 13961.642813885566, 1602.042813800006]",0.7,1602.042813800006,5544.042813855738
ADAM,PARAMESTI-1,100,r,30.0,"[12, 24, 48]","[-3.867503135278155, -3.8482287192116136, -3.778988332973284]",12.0,-3.867503135278155,-3.822266818051432
ADAM,PARAMESTI-1,100,beta_1,0.9,"[0.5, 0.54, 0.9]","[-3.8346934153418277, -3.8342608528115645, -3.822266818051432]",0.5,-3.8346934153418277,-3.822266818051432
ADAM,PARAMESTI-1,100,beta_2,0.999,"[0.4995, 0.999, 0.9999]","[-3.78371470839871, -3.822266818051432, -3.8250109784574966]",0.9999,-3.8250109784574966,-3.822266818051432
ADAM,PARAMESTI-1,100,alpha,0.5,"[0.1, 0.3, 0.7]","[-3.779455881649366, -3.8219565094012866, -3.8233305065886984]",0.7,-3.8233305065886984,-3.822266818051432
ADAM,DYNAMNEWS-1,100,r,30.0,"[12, 24, 48]","[-22.384837962958365, -173.40000114367731, -248.60000061969487]",48.0,-248.60000061969487,-248.60000061986995
ADAM,DYNAMNEWS-1,100,beta_1,0.9,"[0.5, 0.54, 0.9]","[-248.60000061986995, -248.60000061986995, -248.60000061986995]",0.5,-248.60000061986995,-248.60000061986995
ADAM,DYNAMNEWS-1,100,beta_2,0.999,"[0.4995, 0.999, 0.9999]","[-248.60000061986995, -248.60000061986995, -248.60000061986995]",0.4995,-248.60000061986995,-248.60000061986995
ADAM,DYNAMNEWS-1,100,alpha,0.5,"[0.1, 0.3, 0.7]","[-306.50000009408865, -277.6000003140937, -217.60000074116465]",0.1,-306.50000009408865,-248.60000061986995
ASTRODF,SAN-1,100,eta_1,0.1,"[0.01, 0.05, 0.08]","[150.95966238249818, 150.95966238249818, 150.95966238249818]",0.01,150.95966238249818,150.95966238249818
ASTRODF,SAN-1,100,eta_2,0.8,"[0.2, 0.5, 0.8]","[150.95966238249818, 150.95966238249818, 150.95966238249818]",0.2,150.95966238249818,150.95966238249818
ASTRODF,SAN-1,100,gamma_1,2.5,"[1.0, 2.0, 3.5]","[inf, 150.95966238249818, 150.95966238249818]",2.0,150.95966238249818,150.95966238249818
ASTRODF,SAN-1,100,gamma_2,0.5,"[0.2, 0.3, 0.7]","[150.95966238249818, 150.95966238249818, 150.95966238249818]",0.2,150.95966238249818,150.95966238249818
ASTRODF,SAN-1,100,lambda_min,5.0,"[4, 6, 8]","[150.95966238249818, 150.95966238249818, 150.95966238249818]",4.0,150.95966238249818,150.95966238249818
ASTRODF,SAN-1,100,ps_sufficient_reduction,0.1,"[0.01, 0.05, 0.1]","[150.95966238249818, 150.95966238249818, 150.95966238249818]",0.01,150.95966238249818,150.95966238249818
ASTRODF,NETWORK-1,100,eta_1,0.1,"[0.01, 0.05, 0.08]","[3294.206685486346, 3294.206685486346, 3294.206685486346]",0.01,3294.206685486346,3294.206685486346
ASTRODF,NETWORK-1,100,eta_2,0.8,"[0.2, 0.5, 0.8]","[3294.206685486346, 3294.206685486346, 3294.206685486346]",0.2,3294.206685486346,3294.206685486346
ASTRODF,NETWORK-1,100,gamma_1,2.5,"[1.0, 2.0, 3.5]","[inf, 3294.206685486346, 3294.206685486346]",2.0,3294.206685486346,3294.206685486346
ASTRODF,NETWORK-1,100,gamma_2,0.5,"[0.2, 0.3, 0.7]","[3294.206685486346, 3294.206685486346, 3294.206685486346]",0.2,3294.206685486346,3294.206685486346
ASTRODF,NETWORK-1,100,lambda_min,5.0,"[4, 6, 8]","[3294.206685486346, 3294.206685486346, 3294.206685486346]",4.0,3294.206685486346,3294.206685486346
ASTRODF,NETWORK-1,100,ps_sufficient_reduction,0.1,"[0.01, 0.05, 0.1]","[3294.206685486346, 3294.206685486346, 3294.206685486346]",0.01,3294.206685486346,3294.206685486346
ASTRODF,ROSENBROCK-1,100,eta_1,0.1,"[0.01, 0.05, 0.08]","[28716.676652254788, 28716.676652254788, 28716.676652254788]",0.01,28716.676652254788,28716.676652254788
ASTRODF,ROSENBROCK-1,100,eta_2,0.8,"[0.2, 0.5, 0.8]","[28716.676652254788, 28716.676652254788, 28716.676652254788]",0.2,28716.676652254788,28716.676652254788
ASTRODF,ROSENBROCK-1,100,gamma_1,2.5,"[1.0, 2.0, 3.5]","[inf, 28716.676652254788, 28716.676652254788]",2.0,28716.676652254788,28716.676652254788
ASTRODF,ROSENBROCK-1,100,gamma_2,0.5,"[0.2, 0.3, 0.7]","[28716.676652254788, 28716.676652254788, 28716.676652254788]",0.2,28716.676652254788,28716.676652254788
ASTRODF,ROSENBROCK-1,100,lambda_min,5.0,"[4, 6, 8]","[28716.676652254788, 28716.676652254788, 28716.676652254788]",4.0,28716.676652254788,28716.676652254788
