dim,budget,cp,power,alpha,exact,within1,mean_regret,median_regret
20,250,0.03,2.0,1.0,28,31,0.007426137374054962,0.0
20,250,0.03,3.0,0.0,46,48,0.0003377523920966458,0.0
20,250,0.03,3.0,0.25,40,43,0.0008042272581984138,0.0
20,250,0.03,3.0,0.5,35,37,0.0021141644924144946,0.0
20,250,0.03,3.0,1.0,28,29,0.010972632591660642,0.0
20,250,0.05,1.0,0.0,41,42,0.0009150434406951885,0.0
20,250,0.05,1.0,0.25,40,43,0.001665123337217512,0.0
20,250,0.05,1.0,0.5,40,41,0.00273901114939454,0.0
20,250,0.05,1.0,1.0,27,27,0.011160891113867217,0.0
20,250,0.05,1.5,0.0,36,38,0.001877073374582223,0.0
20,250,0.05,1.5,0.25,42,44,0.0013740405982448495,0.0
20,250,0.05,1.5,0.5,36,37,0.00408497673649852,0.0
20,250,0.05,1.5,1.0,24,26,0.01794246951231632,0.0039471402913939906
20,250,0.05,2.0,0.0,38,39,0.0011227153687823341,0.0
20,250,0.05,2.0,0.25,35,38,0.0025412593450931577,0.0
20,250,0.05,2.0,0.5,37,37,0.005373059029607608,0.0
20,250,0.05,2.0,1.0,25,28,0.018573190322505536,0.0001297163304556509
20,250,0.05,3.0,0.0,38,39,0.001480393213247564,0.0
20,250,0.05,3.0,0.25,39,41,0.0030197903264514254,0.0
20,250,0.05,3.0,0.5,36,37,0.004198790906628074,0.0
20,250,0.05,3.0,1.0,23,28,0.01955243924679395,0.002705521364254917
20,250,0.1,1.0,0.0,38,39,0.002329768326412984,0.0
20,250,0.1,1.0,0.25,35,35,0.005729421567429103,0.0
20,250,0.1,1.0,0.5,27,30,0.01667077930434236,0.0
20,250,0.1,1.0,1.0,23,25,0.02929517021517563,0.003740333370771544
20,250,0.1,1.5,0.0,39,40,0.0026173080808564804,0.0
20,250,0.1,1.5,0.25,26,27,0.013377957958415263,0.0
20,250,0.1,1.5,0.5,26,28,0.0181006235997188,0.0
20,250,0.1,1.5,1.0,14,16,0.047505656340651674,0.03354040150670903
20,250,0.1,2.0,0.0,33,35,0.004950059223704602,0.0
20,250,0.1,2.0,0.25,25,25,0.013988557051504355,0.00034769005669552273
20,250,0.1,2.0,0.5,25,25,0.021030670172232625,0.00027925386479304287
20,250,0.1,2.0,1.0,14,16,0.04740808283379929,0.03348733963231111
20,250,0.1,3.0,0.0,34,36,0.00412251982114794,0.0
20,250,0.1,3.0,0.25,27,29,0.011068090405401769,0.0
20,250,0.1,3.0,0.5,24,26,0.01602520975259919,0.005478861498190414
20,250,0.1,3.0,1.0,4,5,0.07652155348755016,0.060113479900160985
20,250,0.2,1.0,0.0,28,31,0.013737680504726298,0.0
20,250,0.2,1.0,0.25,23,24,0.026917753809769195,0.008594684239342855
20,250,0.2,1.0,0.5,22,22,0.04140768029766825,0.017073171339796217
20,250,0.2,1.0,1.0,0,1,0.36834501234637673,0.22780793499509214
20,250,0.2,1.5,0.0,24,24,0.021785413991246196,0.005704375765567975
20,250,0.2,1.5,0.25,23,23,0.02708344256053622,0.007249092717800557
20,250,0.2,1.5,0.5,13,16,0.05146211217509751,0.04303237367277579
20,250,0.2,1.5,1.0,0,0,0.2471938077137954,0.17156827756281456
20,250,0.2,2.0,0.0,24,24,0.016904801217499887,0.002180092099097185
20,250,0.2,2.0,0.25,23,23,0.03184195221165782,0.016000990675834426
20,250,0.2,2.0,0.5,9,13,0.06092589681711646,0.06590055085395186
20,250,0.2,2.0,1.0,3,3,0.24513442881905034,0.17229062970733486
20,250,0.2,3.0,0.0,28,30,0.0155533373233637,0.0
20,250,0.2,3.0,0.25,15,20,0.031145323968631997,0.0212176063079254
20,250,0.2,3.0,0.5,3,4,0.09364790995964967,0.08302260606381484
20,250,0.2,3.0,1.0,0,1,0.19058929113139325,0.1124253792791381
20,500,0.01,1.0,0.0,47,48,0.00010796606138948576,0.0
20,500,0.01,1.0,0.25,45,47,0.00038420581101337027,0.0
20,500,0.01,1.0,0.5,45,47,0.0005270981236471257,0.0
20,500,0.01,1.0,1.0,46,48,0.0003036840346219423,0.0
20,500,0.01,1.5,0.0,48,49,0.0001284311459790402,0.0
20,500,0.01,1.5,0.25,43,46,0.000382206540753335,0.0
20,500,0.01,1.5,0.5,45,48,0.0006508255670788054,0.0
20,500,0.01,1.5,1.0,46,46,0.00034761811065181074,0.0
20,500,0.01,2.0,0.0,48,48,6.07193736256556e-05,0.0
20,500,0.01,2.0,0.25,48,48,1.4833239594424924e-05,0.0
20,500,0.01,2.0,0.5,48,48,1.616588517544197e-05,0.0
20,500,0.01,2.0,1.0,47,47,0.000293187487166555,0.0
20,500,0.01,3.0,0.0,39,43,0.0004566785730282942,0.0
20,500,0.01,3.0,0.25,47,48,8.470354504087209e-05,0.0
20,500,0.01,3.0,0.5,45,47,0.00021076385977313505,0.0
20,500,0.01,3.0,1.0,43,45,0.0007223315618582544,0.0
20,500,0.03,1.0,0.0,47,48,0.0002186411267262792,0.0
20,500,0.03,1.0,0.25,47,47,0.0001319004533692452,0.0
20,500,0.03,1.0,0.5,42,45,0.000982879016116375,0.0
20,500,0.03,1.0,1.0,44,45,0.0011876911913641364,0.0
20,500,0.03,1.5,0.0,42,42,0.0005762468789450382,0.0
20,500,0.03,1.5,0.25,45,46,0.00031937758799854897,0.0
20,500,0.03,1.5,0.5,44,46,0.0005698561939859581,0.0
20,500,0.03,1.5,1.0,45,46,0.0006203515632619054,0.0
20,500,0.03,2.0,0.0,44,45,0.0003349628843464891,0.0
20,500,0.03,2.0,0.25,45,45,0.00022199091172128775,0.0
20,500,0.03,2.0,0.5,41,41,0.001389797897431499,0.0
20,500,0.03,2.0,1.0,43,44,0.0015345365813310224,0.0
20,500,0.03,3.0,0.0,38,43,0.0011120085679902686,0.0
20,500,0.03,3.0,0.25,40,40,0.0009632087310387034,0.0
20,500,0.03,3.0,0.5,45,48,0.0005999920287726947,0.0
20,500,0.03,3.0,1.0,35,36,0.002083495873076897,0.0
20,500,0.05,1.0,0.0,42,42,0.0013991888258060741,0.0
20,500,0.05,1.0,0.25,45,45,0.0005968581932626236,0.0
20,500,0.05,1.0,0.5,41,41,0.0017975841473155706,0.0
20,500,0.05,1.0,1.0,36,40,0.0035458888456361055,0.0
20,500,0.05,1.5,0.0,41,43,0.0015525786806792194,0.0
20,500,0.05,1.5,0.25,42,43,0.0008727374885340904,0.0
20,500,0.05,1.5,0.5,41,43,0.0009494607836873204,0.0
20,500,0.05,1.5,1.0,35,35,0.00436582557019443,0.0
20,500,0.05,2.0,0.0,47,47,0.00020418668237387133,0.0
20,500,0.05,2.0,0.25,32,35,0.00214354504275848,0.0
20,500,0.05,2.0,0.5,36,41,0.0017003538910525596,0.0
20,500,0.05,2.0,1.0,34,36,0.00393420558428085,0.0
20,500,0.05,3.0,0.0,40,41,0.0019389706616972804,0.0
20,500,0.05,3.0,0.25,39,42,0.0016136627960595218,0.0
20,500,0.05,3.0,0.5,31,35,0.004459672855025037,0.0
20,500,0.05,3.0,1.0,35,37,0.004625797201331604,0.0
20,500,0.1,1.0,0.0,39,41,0.0023749927131519934,0.0
20,500,0.1,1.0,0.25,38,38,0.0033126715272172947,0.0
20,500,0.1,1.0,0.5,33,35,0.007537493837059036,0.0
20,500,0.1,1.0,1.0,29,32,0.014815467896920094,0.0
20,500,0.1,1.5,0.0,40,40,0.0013570893089159047,0.0
20,500,0.1,1.5,0.25,37,37,0.005103802179433914,0.0
20,500,0.1,1.5,0.5,36,36,0.006683518230677448,0.0
20,500,0.1,1.5,1.0,32,32,0.008247150572987264,0.0
20,500,0.1,2.0,0.0,27,29,0.00771782342994353,0.0
20,500,0.1,2.0,0.25,28,30,0.007846587709906015,0.0
20,500,0.1,2.0,0.5,25,26,0.017087180507439303,0.0011177570593751927
20,500,0.1,2.0,1.0,33,33,0.014321988354918038,0.0
20,500,0.1,3.0,0.0,29,31,0.009083998216976624,0.0
20,500,0.1,3.0,0.25,32,32,0.011913616005110974,0.0
20,500,0.1,3.0,0.5,32,32,0.008109506875302867,0.0
20,500,0.1,3.0,1.0,22,29,0.015367442670374199,0.005428859962106418
20,500,0.2,1.0,0.0,27,31,0.014447118226880093,0.0
20,500,0.2,1.0,0.25,26,27,0.018152516309065215,0.0
20,500,0.2,1.0,0.5,23,25,0.025580284950121962,0.004981354963170894
