solver,problem,factor,default,tested,tested_scores,best,best_score,baseline_score
ASTRODF,NETWORK-1,eta_2,0.8,"[0.2, 0.5, 0.8]","[71.15304528723833, 70.81310127210736, 70.73692041333624]",0.8,70.73692041333624,70.73692041333624
ASTRODF,NETWORK-1,gamma_1,2.5,"[1.0, 2.0, 3.5]","[inf, 70.61415593743521, 71.01190312743475]",2.0,70.61415593743521,70.73692041333624
ASTRODF,NETWORK-1,gamma_2,0.5,"[0.2, 0.3, 0.7]","[71.01783203408965, 65.66021980817769, 78.9771891425103]",0.3,65.66021980817769,70.73692041333624
ASTRODF,NETWORK-1,lambda_min,5.0,"[4, 6, 8]","[71.12921587340247, 71.17627039141661, 73.3444946061237]",4.0,71.12921587340247,70.73692041333624
ASTRODF,NETWORK-1,ps_sufficient_reduction,0.1,"[0.01, 0.05, 0.1]","[70.73692041333624, 70.73692041333624, 70.73692041333624]",0.01,70.73692041333624,70.73692041333624
ASTRODF,ROSENBROCK-1,eta_1,0.1,"[0.01, 0.05, 0.08]","[281.39927552799463, 281.39927552799463, 281.39927552799463]",0.01,281.39927552799463,281.39927552799463
ASTRODF,ROSENBROCK-1,eta_2,0.8,"[0.2, 0.5, 0.8]","[209.55746599319923, 209.55746599319923, 281.39927552799463]",0.2,209.55746599319923,281.39927552799463
ASTRODF,ROSENBROCK-1,gamma_1,2.5,"[1.0, 2.0, 3.5]","[inf, 124.68319595872151, 136.4363971148791]",2.0,124.68319595872151,281.39927552799463
ASTRODF,ROSENBROCK-1,gamma_2,0.5,"[0.2, 0.3, 0.7]","[281.39927552799463, 281.39927552799463, 281.39927552799463]",0.2,281.39927552799463,281.39927552799463
ASTRODF,ROSENBROCK-1,lambda_min,5.0,"[4, 6, 8]","[281.39927552799463, 281.39927552799463, 260.9068118835584]",8.0,260.9068118835584,281.39927552799463
ASTRODF,ROSENBROCK-1,ps_sufficient_reduction,0.1,"[0.01, 0.05, 0.1]","[281.39927552799463, 281.39927552799463, 281.39927552799463]",0.01,281.39927552799463,281.39927552799463
ASTRODF,SSCONT-1,eta_1,0.1,"[0.01, 0.05, 0.08]","[511.74085329714933, 511.13501459105754, 511.0955316922158]",0.08,511.0955316922158,510.70793985594855
ASTRODF,SSCONT-1,eta_2,0.8,"[0.2, 0.5, 0.8]","[510.05339727891993, 506.0200980104476, 510.70793985594855]",0.5,506.0200980104476,510.70793985594855
